long_term,      1998,   01,     01,     17.26,      -100.11,    32.5,   6.65,   175,    Lowry et al. (2001)
long_term,      2001,   10,     18,     17.27,      -100.247,   35,     7.65,   415,    Kostoglodov (2003)
long_term,      2006,   02,     07,     17.26,      -100.11,    32.5,   7.49,   349,    Radiguet et al. (2011)
long_term,      2009,   06,     17,     17.55,      -100.1,     32.5,   7.53,   434,    Radiguet et al. (2012)
long_term,      2011,   11,     02,     17.93,      -99.62,     30,     5.1,    158,    na 
long_term,      2013,   11,     09,     17.8,       -100.5,     32.5,   7.3,    532,    Radiguet et al. (2016)
long_term,      2017,   06,     04,     17.74,      -100.15,    32.5,   6.91,   164,    Cruz-Atienza et al. (2021)
long_term,      2017,   12,     19,     17.5,       -99.45,     32.5,   6.93,   153,    Cruz-Atienza et al. (2021)
long_term,      2019,   02,     20,     17.85,      -100.6,     32.5,   6.99,   310,    Cruz-Atienza et al. (2021)
long_term,      2020,   09,     15,     17.55,      -100.1,     32.5,   6.7,    62,     na
long_term,      2021,   01,     14,     17.55,      -100.1,     32.5,   6.7,    62,     na
short_term,     2004,   01,     11,     16.4,       -97.5,      30,     7.3,    131,    Graham et al. (2016)
short_term,     2005,   12,     24,     16.35,      -97.5,      30,     7.1,    194,    Graham et al. (2016)
short_term,     2007,   02,     28,     16.2,       -97.1,      30,     6.5,    110,    Graham et al. (2016)
short_term,     2008,   10,     30,     16.3,       -97.6,      37.5,   7.2,    248,    Graham et al. (2016)
short_term,     2010,   12,     06,     16.25,      -97.8,      40,     7.2,    175,    Graham et al. (2016)
short_term,     2012,   01,     22,     16.2,       -96.75,     30,     6.9,    58,     Graham et al. (2016)
short_term,     2014,   01,     11,     16.25,      -97.5,      31,     7.1,    157,    Cruz-Atienza et al. (2021)
short_term,     2015,   10,     27,     16.25,      -97.75,     31,     7.1,    130,    Cruz-Atienza et al. (2021)
short_term,     2017,   12,     10,     17.07,      -98.25,     31,     6.93,   67,     Cruz-Atienza et al. (2021)
short_term,     2018,   11,     22,     16.95,      -97.71,     31,     6.92,   240,    Cruz-Atienza et al. (2021)
